tconst,directors,writers
tt5726616,nm0345174,"nm0412465,nm6056595"
tt5727208,"nm1509478,nm1343394","nm2563482,nm1343394,nm1509478"
tt6105098,nm0269463,"nm0622288,nm0575293,nm0731271,nm0941314"
tt6139732,nm0005363,"nm0041864,nm0005363"
tt6146586,nm0821432,"nm4401003,nm8748334,nm2384772,nm0009207"
tt6148156,"nm2566836,nm2575525,nm13732463","nm8904193,nm13659743,nm2566836,nm2575525"
tt6264654,nm0506613,"nm1073238,nm0672015"
tt6316138,nm8631915,nm2320774
tt6320628,nm1218281,"nm0571344,nm1273099,nm0498278,nm0228492"
tt6334354,nm0348181,nm0348181
tt6443346,nm1429471,"nm1186373,nm3239033,nm2126954,nm1791910,nm1304148,nm0456158,nm0796950,nm0795975"
tt6499752,nm1191481,nm1191481
tt6565702,nm1334526,nm1334526
tt6628102,nm0149196,"nm0946324,nm0149196,nm9831079"
tt6644200,nm1024677,"nm1456816,nm1399714,nm1024677"
tt6710474,"nm3453283,nm3215397","nm3453283,nm3215397"
tt6718170,"nm1739338,nm2398585,nm2966857,nm6042133",nm3821363
tt6723592,nm0634240,nm0634240
tt6751668,nm0094435,"nm0094435,nm8243301"
tt6791350,nm0348181,"nm0348181,nm4160687,nm0498278,nm1293367,nm0456158,nm1921680,nm1411347,nm0827836,nm1815387,nm1598145,nm2757098,nm0317493,nm3053444"
tt6806448,nm0500610,"nm0604555,nm1510800,nm0860155"
tt6823368,nm0796117,nm0796117
tt6857112,nm1443502,nm1443502
tt6966692,nm0268380,"nm0885014,nm0192942,nm0268380"
tt7019842,nm4242320,"nm10848240,nm4242320"
tt7060344,nm6442107,"nm6442107,nm14690666"
tt7097896,nm0785227,"nm0545150,nm0362766"
tt7126948,nm0420941,"nm0420941,nm0424315,nm1709264,nm0551376"
tt7131622,nm0000233,nm0000233
tt7286456,nm0680846,"nm0680846,nm0798788,nm0004170,nm0277730,nm1047603"
tt7349662,nm0000490,"nm4478735,nm5161275,nm0932551,nm0000490,nm9259302"
tt7349950,nm0615592,"nm0000175,nm2477891"
tt7392212,nm1335875,"nm1335875,nm7290481,nm4943022,nm4599921,nm4603688,nm7709337"
tt7466810,nm7882203,"nm7882203,nm13043081,nm4343656,nm8048359"
tt7653254,nm0000876,nm0000876
tt7713068,nm4014166,"nm5429637,nm0227704,nm0863622"
tt7784604,nm4170048,nm4170048
tt7838252,nm6073824,"nm13762864,nm13064350,nm6073824,nm4547509,nm8048359"
tt7846844,nm0102873,"nm2113666,nm9540892,nm0236279"
tt7888964,nm5820154,nm4401003
tt7975244,nm0440458,"nm0440458,nm0684374,nm0003298,nm0885575"
tt7984734,nm3211470,"nm3211470,nm3220455"
tt7991608,nm1098493,nm1098493
tt8108198,nm1437189,"nm4914249,nm10091335,nm1437189,nm9634132,nm1381758,nm1930518"
tt8228288,nm2008067,"nm1457642,nm1038878"
tt8239946,"nm9751348,nm1628153,nm4205110","nm3784276,nm4205110,nm9751348,nm1628153,nm10304029"
tt8267604,nm1701024,"nm1701024,nm2764802,nm9878616,nm2759610,nm1848588"
tt8291224,nm2336554,nm2336554
tt8332922,nm1024677,"nm1024677,nm1456816,nm1399714"
tt8367814,nm0005363,"nm0005363,nm6842463,nm3044095,nm2580983"
tt8503618,nm2371802,"nm0592135,nm2375857"
tt8579674,nm0005222,"nm0005222,nm4880670"
tt8613070,nm1780037,nm1780037
tt8633462,nm1120092,"nm1120092,nm2395951"
tt8772262,nm4170048,nm4170048
tt8936646,nm1092087,"nm0751648,nm3133666,nm0751577,nm11461720"
tt8946378,nm0426059,nm0426059
tt9032400,nm2125482,"nm2125482,nm1522597,nm2535716,nm3303922,nm0456158"
tt9052870,nm4318159,"nm6328029,nm6328030,nm4318159"
tt9114286,nm3363032,"nm3363032,nm1963288,nm0498278,nm0456158"
tt9179430,nm7992231,"nm7992231,nm7188712"
tt9243946,nm0319213,nm0319213
tt9263550,nm0534856,"nm0534856,nm0536705,nm10411843,nm3331246,nm4375423,nm5733505"
tt9362722,"nm1690966,nm1042511,nm5358492","nm0520488,nm0588087,nm1709264,nm0498278"
tt9376612,nm2308774,"nm1709264,nm2308774,nm6150131,nm1921680,nm4160687"
tt9419884,nm0000600,"nm5642271,nm0498278,nm0228492"
tt9477520,nm4274575,"nm5646046,nm4274575,nm9731661,nm11184553,nm13659743"
tt9620292,nm2193504,nm2193504
tt9764362,nm0617042,"nm2219721,nm4301557"
tt9777666,nm0003021,nm3916149
tt9900782,nm7992231,"nm7992231,nm7807469,nm8325456"
